"components/662f8d5adb08550211d9d658/title/","Título do novo componente"
"components/662f8d5adb08550211d9d658/_graphic/alt/","Logomarca do curso com borda"
"components/662f8d8fdb08550211d9d659/title/","Título do novo componente"
"components/662f8e3ceec87d00843ac01a/title/","Explicação do que é IA, uma breve história, como funcionam os modelos de linguagem, e a diferença entre IA fraca e IA geral"
"components/662f8e3ceec87d00843ac01a/body/","<p>Assista ao vídeo, depois faça o exercício.</p>"
"components/662f8e3ceec87d00843ac01a/_timestamp/label/","Marcas de tempo"
"components/662f8e3ceec87d00843ac01a/_transcript/inlineTranscriptButton/","Ver transcrição"
"components/662f8e3ceec87d00843ac01a/_transcript/inlineTranscriptCloseButton/","Fechar"
"components/662f8e3ceec87d00843ac01a/_transcript/inlineTranscriptBody/","<p dir=""ltr""><strong>A IA entrou em nossas vidas diárias com a introdução dos serviços como ChatGPT e MidJourney. Mas mesmo antes dos assistentes virtuais com processamento de linguagem natural e geração de imagens se popularizarem, a IA já vem sendo usada em várias áreas, da ciência à robótica, e da medicina ao transporte. Como o uso da IA se tornou tão prevalente, vamos explorar o que ela abrange e como veio a ser o que é hoje. A IA é um campo da ciência da computação, a criação de máquinas e softwares que podem replicar habilidades humanas, como aprender e resolver problemas. Assim como as pessoas aprendem com suas experiências, a IA aprende com os dados que recebe.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>As pessoas já imaginam poder criar seres artificiais, mas inteligentes há séculos. Entretanto, os passos mais importantes para realizar esse sonho foram dados em meados dos anos 50. O termo inteligência artificial foi usado pela primeira vez em 1956 numa palestra no campus da Faculdade de Dartmouth, onde um grupo de cientistas buscou verificar a alegação de que as máquinas podem estimular qualquer aspecto do aprendizado ou outras características da inteligência, se descritas com precisão suficiente. Com o passar das décadas, as pesquisas de IA evoluíram consideravelmente, graças aos avanços em poder computacional, algoritmos, e disponibilidade de dados. Grandes marcos incluem o desenvolvimento de sistemas avançados nos anos 70, redes neurais nos anos 80, e a ascensão dos algoritmos de aprendizado de máquina durante o século 21. Atualmente, a IA é caracterizada por algoritmos avançados capazes de aprender com grandes quantidades de dados para realizar tarefas que antes pensávamos exigir inteligência humana.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Na última década, um dos avanços mais importantes no campo da IA foram os Modelos de Linguagem de Grande Escala, ou Large Language Models, LLMs. Os LLMs são sistemas de IA avançados, treinados em grandes quantidades de dados usando técnicas de aprendizagem profunda para entender e gerar texto pseudo-humano. Eles podem realizar tarefas avançadas, como tradução, resumir texto, responder a perguntas, analisar sistemas, reconhecer padrões e categorizar conteúdo. Com sua capacidade de entender e gerar respostas relevantes ao contexto original, os Modelos de Linguagem em Grande Escala têm um papel cada vez maior em vários campos, incluindo serviço ao cliente, geração de conteúdo e pesquisa acadêmica.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>A IA por si só não é nem boa, nem má. Os resultados de um sistema de IA dependem de como ele é criado, utilizado e as intenções por trás de sua implementação. Embora nós costumamos pensar na tecnologia como uma ferramenta neutra, sua criação sempre foi influenciada pelas crenças e pontos de vista atuais do mundo. Problemas éticos podem surgir quando preconceitos humanos se tornam parte dos sistemas de automação de decisões ou são inclusos nos bancos de dados utilizados para treinar os sistemas de IA. Fatores como as escolhas de projeto feitas durante o desenvolvimento, os dados usados para treinar o sistema, e o contexto sob o qual ele opera todos influenciam os efeitos que o sistema de IA gera sobre a sociedade, sejam positivos ou negativos. Ademais, as pessoas ou organizações responsáveis por criar e implementar a IA, além dos fins pelos quais ela foi implementada, têm um papel crucial em definir seu impacto.</strong></p>"
"components/662f8e3ceec87d00843ac01a/_transcript/transcriptLinkButton/","Baixar transcrição"
"components/662fa48701f754020b952688/title/","Questões sobre o vídeo"
"components/662fa4df01f754020b95268a/title/","Questão 1"
"components/662fa4df01f754020b95268a/displayTitle/","Questão 1"
"components/662fa4df01f754020b95268a/body/","<p>Qual termo foi usado pela primeira vez pelos cientistas nos anos 50?</p>"
"components/662fa4df01f754020b95268a/_items/0/text/","Inteligência artificial"
"components/662fa4df01f754020b95268a/_items/1/text/","Assistentes virtuais"
"components/662fa4df01f754020b95268a/_items/2/text/","Ciência da computação"
"components/662fa4df01f754020b95268a/_items/3/text/","Aprendizado de máquina"
"components/662fa4df01f754020b95268a/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662fa4df01f754020b95268a/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa4df01f754020b95268a/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa5727617bb023a1c6fcc/title/","Questão 2"
"components/662fa5727617bb023a1c6fcc/displayTitle/","Questão 2"
"components/662fa5727617bb023a1c6fcc/body/","<p>Qual foi a intenção dos cientistas naquela época?</p>"
"components/662fa5727617bb023a1c6fcc/_items/0/text/","Confirmar que as máquinas podem simular a inteligência"
"components/662fa5727617bb023a1c6fcc/_items/1/text/","Provar que os humanos aprendem mais devagar comparado com as máquinas"
"components/662fa5727617bb023a1c6fcc/_items/2/text/","Verificar se a pesquisa estava evoluindo"
"components/662fa5727617bb023a1c6fcc/_items/3/text/","Abordar preconceitos e problemas éticos"
"components/662fa5727617bb023a1c6fcc/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662fa5727617bb023a1c6fcc/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa5727617bb023a1c6fcc/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa5ed01f754020b95268d/title/","Questão 3"
"components/662fa5ed01f754020b95268d/displayTitle/","Questão 3"
"components/662fa5ed01f754020b95268d/body/","<p>Qual foi uma das revoluções mais recentes na evolução da IA?</p>"
"components/662fa5ed01f754020b95268d/_items/0/text/","A ascensão dos algoritmos de aprendizado de máquina"
"components/662fa5ed01f754020b95268d/_items/1/text/","A disponibilidade de dados"
"components/662fa5ed01f754020b95268d/_items/2/text/","Seu uso abrangente na medicina e na robótica"
"components/662fa5ed01f754020b95268d/_items/3/text/","O desenvolvimento de sistemas avançados"
"components/662fa5ed01f754020b95268d/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662fa5ed01f754020b95268d/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa5ed01f754020b95268d/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa66201f754020b95268e/title/","Questão 4"
"components/662fa66201f754020b95268e/displayTitle/","Questão 4"
"components/662fa66201f754020b95268e/body/","<p>As técnicas de aprendizagem profunda são usadas para treinar o quê?</p>"
"components/662fa66201f754020b95268e/_items/0/text/","Os Modelos de Linguagem de Grande Escala"
"components/662fa66201f754020b95268e/_items/1/text/","A compreensão humana"
"components/662fa66201f754020b95268e/_items/2/text/","Os alunos do campus da Faculdade de Dartmouth"
"components/662fa66201f754020b95268e/_items/3/text/","As redes neurais"
"components/662fa66201f754020b95268e/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662fa66201f754020b95268e/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa66201f754020b95268e/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie o exercício e tente de novo.</p>"
"components/662fa6e7db08550211d9d65b/title/","Questão 5"
"components/662fa6e7db08550211d9d65b/displayTitle/","Questão 5"
"components/662fa6e7db08550211d9d65b/body/","<p>Por que os Modelos de Linguagem de Grande Escala são importantes?</p>"
"components/662fa6e7db08550211d9d65b/_items/0/text/","Eles são capazes de ser usados em vários campos"
"components/662fa6e7db08550211d9d65b/_items/1/text/","Eles podem escrever igual a um ser humano"
"components/662fa6e7db08550211d9d65b/_items/2/text/","Eles podem criar algoritmos avançados"
"components/662fa6e7db08550211d9d65b/_items/3/text/","Eles podem treinar outros aplicativos com grandes quantidades de dados"
"components/662fa6e7db08550211d9d65b/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
