"components/65e20311d8d5cb03c4d7b17c/title/","Título do novo componente"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_returnToPreviousLocation/text/","Voltar"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_returnToPreviousLocation/ariaLabel/","Voltar ao local anterior"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_returnToPreviousLocation/tooltip/","{{displayTitle}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_previous/text/","Anterior"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_previous/ariaLabel/","Página anterior"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_previous/tooltip/","{{displayTitle}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_root/text/","Início"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_root/ariaLabel/","Ir ao menu principal"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_root/tooltip/","{{displayTitle}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_up/text/","Voltar ao menu"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_up/ariaLabel/","Voltar ao menu"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_up/tooltip/","{{displayTitle}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_next/text/","Seguinte"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_next/ariaLabel/","Página seguinte"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_next/tooltip/","{{displayTitle}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_sibling/text/","{{inc index}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_sibling/ariaLabel/","Página {{inc index}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_sibling/tooltip/","{{displayTitle}}"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_close/text/","Fechar"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_close/ariaLabel/","Fechar janela"
"components/65e20311d8d5cb03c4d7b17c/_buttons/_close/tooltip/","Fechar janela"
"components/65e20413d8d5cb03c4d7b17f/title/","Título do novo componente"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_returnToPreviousLocation/text/","Voltar"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_returnToPreviousLocation/ariaLabel/","Voltar ao local anterior"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_returnToPreviousLocation/tooltip/","{{displayTitle}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_previous/text/","Anterior"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_previous/ariaLabel/","Página anterior"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_previous/tooltip/","{{displayTitle}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_root/text/","Início"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_root/ariaLabel/","Ir ao menu principal"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_root/tooltip/","{{displayTitle}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_up/text/","Voltar ao menu"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_up/ariaLabel/","Voltar ao menu"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_up/tooltip/","{{displayTitle}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_next/text/","Seguinte"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_next/ariaLabel/","Página seguinte"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_next/tooltip/","{{displayTitle}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_sibling/text/","{{inc index}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_sibling/ariaLabel/","Página {{inc index}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_sibling/tooltip/","{{displayTitle}}"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_close/text/","Fechar"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_close/ariaLabel/","Fechar janela"
"components/65e20413d8d5cb03c4d7b17f/_buttons/_close/tooltip/","Fechar janela"
"components/65e205e8d8d5cb03c4d7b182/title/","Título do novo componente"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_returnToPreviousLocation/text/","Voltar"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_returnToPreviousLocation/ariaLabel/","Voltar ao local anterior"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_returnToPreviousLocation/tooltip/","{{displayTitle}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_previous/text/","Anterior"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_previous/ariaLabel/","Página anterior"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_previous/tooltip/","{{displayTitle}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_root/text/","Início"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_root/ariaLabel/","Ir ao menu principal"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_root/tooltip/","{{displayTitle}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_up/text/","Voltar ao menu"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_up/ariaLabel/","Voltar ao menu"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_up/tooltip/","{{displayTitle}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_next/text/","Seguinte"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_next/ariaLabel/","Página seguinte"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_next/tooltip/","{{displayTitle}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_sibling/text/","{{inc index}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_sibling/ariaLabel/","Página {{inc index}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_sibling/tooltip/","{{displayTitle}}"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_close/text/","Fechar"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_close/ariaLabel/","Fechar janela"
"components/65e205e8d8d5cb03c4d7b182/_buttons/_close/tooltip/","Fechar janela"
"components/662ca88bbafa840011d9c2db/title/","Título do novo componente"
"components/662ca88bbafa840011d9c2db/_graphic/alt/","Logomarca do curso com borda"
"components/662ca906bafa840011d9c2de/title/","Há um mundo novo inteiro a ser descoberto"
"components/662ca906bafa840011d9c2de/body/","<p>Assista ao vídeo, depois faça o exercício.</p>"
"components/662ca906bafa840011d9c2de/_timestamp/label/","Marcas de tempo"
"components/662ca906bafa840011d9c2de/_transcript/inlineTranscriptButton/","Ver transcrição"
"components/662ca906bafa840011d9c2de/_transcript/inlineTranscriptCloseButton/","Fechar"
"components/662ca906bafa840011d9c2de/_transcript/inlineTranscriptBody/","<p dir=""ltr""><strong>A tecnologia digital é incrível. Ela nos conecta de outros continentes, fornece acesso imediato à informação, e fornece plataformas para inovação e criatividade. Por exemplo, a tecnologia de GPS nos permite ter mapas mais atualizados e precisos em nossos bolsos. E parentes que moram longe dos outros agora podem se reunir sem a necessidade de viajar. Tarefas que antes levavam dias agora podem ser feitas em segundos. Você pode pagar todas as suas contas em poucos cliques e documentar o pagou, quanto pagou, e para quem?</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>O problema é que essas tecnologias também trouxeram alguns males. Por exemplo, o tempo de tela excessivo pode afetar sua saúde física e mental, e há uma preocupação crescente com a privacidade e a segurança de dados. Toda informação que você publica online pode ser usada contra você. Além disso, nem todos têm acesso igual a tais tecnologias. Há uma divisão digital, onde certas pessoas têm bom acesso com todos os benefícios e outras pessoas não têm. Para manter uma vida digital saudável, com acesso justo e igual a todos, devemos encontrar uma forma de balancear esses prós e contras.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Antes de iniciar sua jornada online, há vários ambientes digitais a conhecer, particularmente os sistemas operacionais, os navegadores, e os aplicativos. Os sistemas operacionais, como Windows para PC ou Android para smartphones, são a base de nossos dispositivos. São como a fundação de uma casa, apoiando e controlando todas as atividades digitais e os softwares que executamos. Navegadores como o Google Chrome, Safari, ou o Mozilla Firefox, são os aplicativos mais importantes em nossos dispositivos. São nossos portais para a Internet. Para fazer qualquer coisa online, é preciso saber como usar um navegador. Com o navegador, você pode ler notícias, fazer compras online ou interagir com outras pessoas nas redes sociais. Toda empresa, negócio, organização ou pessoa com uma presença online possui um site, e o navegador leva você diretamente a esse site.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Os aplicativos, ou apps, são ferramentas especiais criadas para executar certas funções. Muitos deles possuem equivalentes no mundo real. No passado, os chamávamos de programas. Porém, com a chegada dos smartphones, todos começaram a chamá-los de aplicativos, e depois, apps. Um exemplo de um equivalente no mundo real seria um aluno que costumava anotar as aulas com caneta e papel, mas agora usa um app como o Evernote ou o OneNote para anotar as aulas em seu computador ou celular. Artistas que costumavam pintar com acrílico sobre tela agora têm opções mais rápidas com os apps de edição de imagens, como o Photoshop ou o Illustrator. O renomado artista britânico David Hockney foi um dos primeiros a fazer experimentos com o iPad como uma ferramenta para criar obras de arte.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Há também outros aplicativos sem um equivalente claro no mundo real, como apps de mensagens instantâneas como o WhatsApp, Signal, ou Telegram. Esses apps permitem enviar mensagens de texto para outras pessoas ou até grupos inteiros. Permitem até enviar mensagens de voz, fazer ligações em áudio e vídeo, além de tirar e enviar fotos e vídeos. O número de serviços que fornecem está crescendo a cada dia.</strong></p>"
"components/662ca906bafa840011d9c2de/_transcript/transcriptLinkButton/","Baixar transcrição"
"components/662ca9a1387a3d0011473a7b/title/","Questões sobre o vídeo"
"components/662caa2c5f555c001145e889/title/","Questão 1"
"components/662caa2c5f555c001145e889/displayTitle/","Questão 1"
"components/662caa2c5f555c001145e889/body/","<p>Qual o melhor benefício que as tecnologias digitais fornecem?</p>"
"components/662caa2c5f555c001145e889/_items/0/text/","Elas permitem o acesso rápido à informação e à comunicação global"
"components/662caa2c5f555c001145e889/_items/1/text/","Elas focam apenas em serviços de GPS"
"components/662caa2c5f555c001145e889/_items/2/text/","Elas servem apenas para entretenimento"
"components/662caa2c5f555c001145e889/_items/3/text/","Elas substituem totalmente os meios antigos de comunicação"
"components/662caa2c5f555c001145e889/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662caa2c5f555c001145e889/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662caa2c5f555c001145e889/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab16387a3d0011473a7c/title/","Questão 2"
"components/662cab16387a3d0011473a7c/displayTitle/","Questão 2"
"components/662cab16387a3d0011473a7c/body/","<p>Quais os possíveis males trazidos pelo uso excessivo das tecnologias digitais?</p>"
"components/662cab16387a3d0011473a7c/_items/0/text/","Efeitos prejudiciais na saúde devido ao tempo de tela excessivo"
"components/662cab16387a3d0011473a7c/_items/1/text/","Elas geralmente melhoram a saúde física e mental"
"components/662cab16387a3d0011473a7c/_items/2/text/","Elas deixam a segurança e a privacidade de dados mais fácil"
"components/662cab16387a3d0011473a7c/_items/3/text/","Elas eliminam as divisões com o acesso igual à tecnologia"
"components/662cab16387a3d0011473a7c/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cab16387a3d0011473a7c/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab16387a3d0011473a7c/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab83bafa840011d9c2df/title/","Questão 3"
"components/662cab83bafa840011d9c2df/displayTitle/","Questão 3"
"components/662cab83bafa840011d9c2df/body/","<p>Qual a função principal do sistema operacional nos dispositivos eletrônicos?</p>"
"components/662cab83bafa840011d9c2df/_items/0/text/","Ele forma a base essencial para controlar e executar os softwares"
"components/662cab83bafa840011d9c2df/_items/1/text/","Ele foi feito exclusivamente para navegar online"
"components/662cab83bafa840011d9c2df/_items/2/text/","Ele é um aplicativo secundário para outros softwares"
"components/662cab83bafa840011d9c2df/_items/3/text/","Ele foi feito principalmente para jogos"
"components/662cab83bafa840011d9c2df/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cab83bafa840011d9c2df/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cab83bafa840011d9c2df/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cac0e5f555c001145e88c/title/","Questão 4"
"components/662cac0e5f555c001145e88c/displayTitle/","Questão 4"
"components/662cac0e5f555c001145e88c/body/","<p>Qual o papel principal do navegador no mundo digital?</p>"
"components/662cac0e5f555c001145e88c/_items/0/text/","Ele serve como o ponto de acesso principal para serviços e informações online"
"components/662cac0e5f555c001145e88c/_items/1/text/","Ele está restrito à gestão de e-mails"
"components/662cac0e5f555c001145e88c/_items/2/text/","Ele é uma versão digital de um shopping center"
"components/662cac0e5f555c001145e88c/_items/3/text/","Ele foi criado apenas para redes sociais"
"components/662cac0e5f555c001145e88c/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cac0e5f555c001145e88c/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
